===== System Information =====
Time: 2025-10-28T16:05:42.280
App: ColorProDisplayManager
App Version: 1.1.0.1028
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1920 x 1080 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[16:05:42.281]  [T:0x60947] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[16:05:42.282]  [T:0x60947] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[16:05:42.297]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[16:05:42.299]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[16:06:00.668]  [T:0x60947] I: [ CAutoScreenPivotModule::initializeAutoScreenPivot ] monitorName:  "VP2458"
[16:06:00.757]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1 VCP option name: "0"
[16:06:00.757]  [T:0x60947] I: [ CAutoScreenPivotModule::initializeAutoScreenPivot ] monitorName:  "VP3256-4K"
[16:06:00.757]  [T:0x60947] I: [ CAutoScreenPivotModule::initializeAutoScreenPivot ] mAutoMonitorSet:  QSet("VP2458,VKR183100011", "VP3256-4K,WPK214700016")
[16:06:00.757]  [T:0x60947] D: CICCSyncModule::Initialize()
[16:06:00.757]  [T:0x60947] D: [ICCSync] DC ready → do Start
[16:06:00.758]  [T:0x60947] D: Connected Monitor Map (Size: 2 )
[16:06:00.758]  [T:0x60947] D: monitorName:  "VP2458"
[16:06:00.758]  [T:0x60947] D: monitorSN:  "VKR183100011"
[16:06:00.760]  [T:0x60947] D: monitorName:  "VP3256-4K"
[16:06:00.760]  [T:0x60947] D: monitorSN:  "WPK214700016"
[16:06:00.761]  [T:0x60947] I: Monitor count (from map): 2
[16:06:00.761]  [T:0x60947] W: [ICCSync] Mismatch: connectedMonitorMap.size() = 2 vs displayer_vector_.size() = 3  -> Start() aborted.
[16:06:00.761]  [T:0x60947] W: [ICCSync] Start failed → init aborted
[16:06:00.761]  [T:0x60947] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[16:06:00.763]  [T:0x60947] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[16:06:00.763]  [T:0x60947] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "colorfilter_mode")
